progeny	sire	dam	progeny_fam_ID	sire_fam_ID	dam_fam_ID
1	0	0	NA	NA	NA
2	0	0	NA	NA	NA
3	0	0	NA	NA	NA
4	0	0	NA	NA	NA
5	0	0	NA	NA	NA
6	0	0	NA	NA	NA
7	0	0	NA	NA	NA
8	0	0	NA	NA	NA
9	0	0	NA	NA	NA
10	0	0	NA	NA	NA
11	0	0	NA	NA	NA
12	0	0	NA	NA	NA
13	0	0	NA	NA	NA
14	0	0	NA	NA	NA
15	0	0	NA	NA	NA
16	0	0	NA	NA	NA
17	0	0	NA	NA	NA
18	0	0	NA	NA	NA
19	0	0	NA	NA	NA
20	0	0	NA	NA	NA
21	0	0	NA	NA	NA
22	0	0	NA	NA	NA
23	0	0	NA	NA	NA
24	0	0	NA	NA	NA
25	0	0	NA	NA	NA
26	0	0	NA	NA	NA
27	0	0	NA	NA	NA
28	0	0	NA	NA	NA
29	0	0	NA	NA	NA
30	0	0	NA	NA	NA
31	0	0	NA	NA	NA
32	0	0	NA	NA	NA
33	0	0	NA	NA	NA
34	0	0	NA	NA	NA
35	0	0	NA	NA	NA
36	0	0	NA	NA	NA
37	0	0	NA	NA	NA
38	0	0	NA	NA	NA
39	0	0	NA	NA	NA
40	0	0	NA	NA	NA
41	0	0	NA	NA	NA
42	0	0	NA	NA	NA
43	0	0	NA	NA	NA
44	0	0	NA	NA	NA
45	0	0	NA	NA	NA
46	0	0	NA	NA	NA
47	0	0	NA	NA	NA
48	0	0	NA	NA	NA
49	0	0	NA	NA	NA
50	0	0	NA	NA	NA
51	0	0	NA	NA	NA
52	0	0	NA	NA	NA
53	0	0	NA	NA	NA
54	0	0	NA	NA	NA
55	0	0	NA	NA	NA
56	0	0	NA	NA	NA
57	0	0	NA	NA	NA
58	0	0	NA	NA	NA
59	0	0	NA	NA	NA
60	0	0	NA	NA	NA
61	0	0	NA	NA	NA
62	0	0	NA	NA	NA
63	0	0	NA	NA	NA
64	0	0	NA	NA	NA
65	0	0	NA	NA	NA
66	0	0	NA	NA	NA
67	0	0	NA	NA	NA
68	0	0	NA	NA	NA
69	0	0	NA	NA	NA
70	0	0	NA	NA	NA
71	0	0	NA	NA	NA
72	0	0	NA	NA	NA
73	0	0	NA	NA	NA
74	0	0	NA	NA	NA
75	0	0	NA	NA	NA
76	0	0	NA	NA	NA
77	0	0	NA	NA	NA
78	0	0	NA	NA	NA
79	0	0	NA	NA	NA
80	0	0	NA	NA	NA
81	0	0	NA	NA	NA
82	0	0	NA	NA	NA
83	0	0	NA	NA	NA
84	0	0	NA	NA	NA
85	0	0	NA	NA	NA
